Date,Close,Daily_Return_%,Volume,Volume_Avg20,Volume_Spike,Volatility_5d,Volatility_20d,Avg_VADER_Score,Median_VADER_Score,News_Count,Sentiment_Std,Hindi_Count,English_Avg_Score,Hindi_Avg_Score,Ticker,Sentiment_Yesterday,Return_Tomorrow,Return_Day_After,Return_Yesterday
12-05-2025,2265.399902,-0.701323779,2400781,1161985.2,1,5.999279259,7.490817873,,,,,,,,ADANI,,9.173831729,-6.164074108,2.326765319
26-05-2025,2473.223877,9.173831729,1121398,1195873.65,0,5.938902009,7.231272749,,,,,,,,ADANI,,-6.164074108,1.804824718,-0.701323779
02-06-2025,2300.300049,-6.164074108,4367768,1183585.88,0,6.488675994,6.529724701,,,,,,,,ADANI,,1.804824718,2.54037865,9.173831729
09-06-2025,2314.300049,1.804824718,2633102,1179821.35,1,9.195679162,6.906924567,,,,,,,,ADANI,,2.54037865,3.064141881,-6.164074108
30-06-2025,2351.934082,2.54037865,5310637,1248129.56,0,9.028441744,7.087783697,,,,,,,,ADANI,,3.064141881,6.102969781,1.804824718
07-07-2025,2369.399902,3.064141881,5294688,1124601.1,1,9.281649251,7.713729373,,,,,,,,ADANI,,6.102969781,3.679550215,2.54037865
28-07-2025,2514.003662,6.102969781,879641,1122551.25,0,11.03219542,8.033739581,,,,,,,,ADANI,,3.679550215,-12.1984127,3.064141881
04-08-2025,2524.100098,3.679550215,7120996,1130800.225,1,10.70718397,8.874328604,,,,,,,,ADANI,,-12.1984127,17.45092706,6.102969781
11-08-2025,2216.199951,-12.1984127,939764,1140520.5,0,13.28604749,9.7533426,,,,,,,,ADANI,,17.45092706,-12.21248145,3.679550215
01-09-2025,2583,17.45092706,4821518,1137816.71,0,11.3754984,9.734189508,,,,,,,,ADANI,,-12.21248145,-0.547087667,-12.1984127
08-09-2025,2245.199951,-12.21248145,2248862,1073361.75,0,10.61358118,10.20605037,,,,,,,,ADANI,,-0.547087667,2.088196961,17.45092706
29-09-2025,2227.196045,-0.547087667,3098629,1086280.55,0,9.249572882,9.930877582,,,,,,,,ADANI,,2.088196961,4.928536181,-12.21248145
06-10-2025,2211.600098,2.088196961,4983828,980934.4333,1,9.961581907,10.01972374,,,,,,,,ADANI,,4.928536181,4.744803712,-0.547087667
27-10-2025,2320.599609,4.928536181,4895456,1102570.7,1,8.48816723,9.411484756,,,,,,,,ADANI,,4.744803712,-5.08031855,2.088196961
03-11-2025,2398.800049,4.744803712,7552793,1110716.8,1,6.891941073,8.700381474,,,,,,,,ADANI,,-5.08031855,11.59767995,4.928536181
10-11-2025,2277.699951,-5.08031855,2173964,1200445.025,0,7.127354873,8.117617659,,,,,,,,ADANI,,11.59767995,-10.00887776,4.744803712
01-12-2025,2542.439453,11.59767995,6084310,1307473.488,1,5.304587245,7.398423413,,,,,,,,ADANI,,-10.00887776,,-5.08031855
08-12-2025,2282.399902,-10.00887776,9434548,1451631.775,1,7.149391457,6.901994216,,,,,,,,ADANI,,,,11.59767995
