Date,Ticker,Close,Daily_Return_%,Avg_VADER_Score,News_Count,English_Avg_Score,Hindi_Avg_Score,Volume,Volume_Spike,Language_Gap,Language_Gap_Abs,Broker_Panic_Score,Is_Outage_Day,Model_Disagreement,High_Disagreement,Hype_vs_Reality,Hype_Divergence_Score
2025-07-28,RELIANCE,1260.46582,-14.718144790257115,,,,,19346579,1,,,0.0,0,0.0,0,0,
2025-08-04,RELIANCE,1367.400024,11.051564411405979,,,,,67137883,1,,,0.0,0,0.0,0,0,
2025-08-11,RELIANCE,1543.0,12.84188773716155,,,,,11301491,0,,,0.0,0,0.0,0,0,
2025-09-01,RELIANCE,1512.957397,1.6938266966682782,,,,,53442497,0,,,0.0,0,0.0,0,0,
2025-09-08,RELIANCE,1529.400024,2.0802343366735343,0.0,1.0,,0.0,30085056,0,,,0.0,0,0.0,0,0,-1.0
2025-09-29,RELIANCE,1233.473633,-19.391561407615267,0.0,1.0,,0.0,27022355,0,,,0.0,0,0.0,0,0,1.0
2025-10-06,RELIANCE,1536.900024,24.075663012743753,0.0,1.0,,0.0,47184276,0,,,0.0,0,0.0,0,0,-1.0
2025-10-27,RELIANCE,1229.937744,-19.972820301029547,,,,,8859714,0,,,0.0,0,0.0,0,0,
2025-11-03,RELIANCE,1383.300049,13.694794015682763,,,,,56508329,0,,,0.0,0,0.0,0,0,
2025-11-10,RELIANCE,1545.0,11.4144270741241,,,,,11833703,0,,,0.0,0,0.0,0,0,
2025-12-01,RELIANCE,1435.865234,-3.612536034979299,,,,,52611404,1,,,0.0,0,0.0,0,0,
2025-12-08,RELIANCE,1556.5,8.544429091359564,,,,,37139146,0,,,0.0,0,0.0,0,0,
